Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
3711.TW-6257.TW,3711.TW,6257.TW,0.9756812309083498,0.00046443054392826923,-4.7486016830572195
6488.TWO-3152.TWO,6488.TWO,3152.TWO,0.8985554380466342,0.0004925941427516354,-4.73391141678082
3680.TWO-4938.TW,3680.TWO,4938.TW,0.9026577629964,0.0005784342270463722,-4.693577918191187
6414.TW-6121.TWO,6414.TW,6121.TWO,0.9226110264282056,0.0005927400782844811,-4.6874109985106625
2421.TW-3231.TW,2421.TW,3231.TW,0.9675988033003283,0.000597131132535186,-4.685546220474049
2439.TW-2520.TW,2439.TW,2520.TW,0.866298841946097,0.0006449647051663303,-4.666028787934928
1802.TW-1717.TW,1802.TW,1717.TW,0.8974981718160413,0.000674976338736971,-4.654467408944975
2330.TW-3653.TW,2330.TW,3653.TW,0.9673596898994319,0.0007210819778855253,-4.637615333771481
2515.TW-1503.TW,2515.TW,1503.TW,0.8786150002307597,0.0008150518863185645,-4.606193960282051
6153.TW-1314.TW,6153.TW,1314.TW,0.8674496020996889,0.0010070566154430358,-4.551369612432932
1312.TW-2014.TW,1312.TW,2014.TW,0.9043645398718513,0.0010404066181856457,-4.542860282518261
1314.TW-2014.TW,1314.TW,2014.TW,0.8789003278778873,0.0010571298012208115,-4.53868895379432
2474.TW-1513.TW,2474.TW,1513.TW,0.9313662490604856,0.001088011954168842,-4.531145571046001
6153.TW-1904.TW,6153.TW,1904.TW,0.8790387780162278,0.0010901297693549532,-4.530635630193594
1609.TW-4938.TW,1609.TW,4938.TW,0.9232012593774874,0.001110182695026533,-4.525852542256241
6153.TW-6116.TW,6153.TW,6116.TW,0.8606964204322227,0.001151054542634499,-4.516348682538058
1504.TW-2404.TW,1504.TW,2404.TW,0.854771262881219,0.0011740507346467215,-4.511139143891817
6669.TW-3044.TW,6669.TW,3044.TW,0.955467377139187,0.001340225226388359,-4.476100032818661
2338.TW-5871.TW,2338.TW,5871.TW,0.8794575267601288,0.0013505828850770992,-4.474052697362533
2360.TW-8039.TW,2360.TW,8039.TW,0.949578278778275,0.0013511798471403523,-4.4739351461203265
2006.TW-0056.TW,2006.TW,0056.TW,0.8835696504350005,0.0013810445813115927,-4.468115240988667
4958.TW-6223.TWO,4958.TW,6223.TWO,0.9062282606852149,0.0014288887569684028,-4.459031635777733
2338.TW-4743.TWO,2338.TW,4743.TWO,0.8764612861579382,0.0014509676860154246,-4.454934951567673
8039.TW-3260.TWO,8039.TW,3260.TWO,0.92684062073705,0.0014551248656368876,-4.454170099175786
2515.TW-2329.TW,2515.TW,2329.TW,0.8579460302729823,0.001465833899602998,-4.452209147051891
2006.TW-00878.TW,2006.TW,00878.TW,0.8625349235748528,0.001542866334372263,-4.43848429533825
2449.TW-3017.TW,2449.TW,3017.TW,0.9699074746263089,0.001579261591424316,-4.432220251102685
6669.TW-6139.TW,6669.TW,6139.TW,0.9561379037135812,0.0016055733317702936,-4.427774782991949
3264.TWO-2360.TW,3264.TWO,2360.TW,0.9126224884351145,0.001645989979696309,-4.421076469051911
0050.TW-2330.TW,0050.TW,2330.TW,0.9990754878535977,0.0017125229014272032,-4.410375858341912
6669.TW-1504.TW,6669.TW,1504.TW,0.9238572244557836,0.001810619404548496,-4.395283099176389
3044.TW-6139.TW,3044.TW,6139.TW,0.9597676026390101,0.0018202987410788983,-4.393835291556397
6290.TWO-3653.TW,6290.TWO,3653.TW,0.9471404606548363,0.0019704014628670525,-4.372252707570445
1513.TW-6188.TWO,1513.TW,6188.TWO,0.9341527733167133,0.001984720829185581,-4.3702742052478865
3702.TW-2355.TW,3702.TW,2355.TW,0.8717926290972894,0.001996306337085399,-4.368683098655704
3211.TWO-2404.TW,3211.TWO,2404.TW,0.9673241673748768,0.0020466784956224057,-4.361863193993222
6547.TWO-8044.TWO,6547.TWO,8044.TWO,0.8760727340054225,0.00207562124788232,-4.358014648007858
6121.TWO-3661.TW,6121.TWO,3661.TW,0.9194061878425369,0.0020928409246643125,-4.35574844894245
3264.TWO-2383.TW,3264.TWO,2383.TW,0.9291436002949799,0.002151704184916133,-4.348130009810216
2353.TW-9958.TW,2353.TW,9958.TW,0.9026365374410582,0.0022508747289226327,-4.335720620654999
2324.TW-2356.TW,2324.TW,2356.TW,0.9377030963496884,0.0025500940198674537,-4.301125946916298
3376.TW-6005.TW,3376.TW,6005.TW,0.920822453200851,0.0026628714756824186,-4.289053833419929
